,0
1751,256
1752,880
1753,2531
1754,1026
1755,530
1756,692
1757,132
1758,384
1759,517
1760,234
1761,169
1762,364
1763,161
1764,2390
1765,446
1766,327
1767,163
1768,3277
1769,737
1770,1121
1771,3142
1772,498
1773,271
1774,522
1775,815
1776,135
1777,511
1778,1601
1779,477
1780,274
1781,548
1782,1013
1783,89
1784,465
1785,271
1786,636
1787,183
1788,1249
1789,774
1790,3252
1791,19322
1792,3524
1793,902
1794,773
1795,2297
1796,4734
1797,377
1798,1258
1799,1005
1800,121
1801,298
1802,901
1803,274
1804,315
1805,733
1806,1009
1807,1900
1808,364
1809,979
1810,986
1811,1133
1812,303
1813,847
1814,775
1815,1433
1816,510
1817,6475
1818,14723
1819,1646
1820,652
1821,726
1822,515
1823,360
1824,321
1825,1130
1826,3025
1827,780
1828,963
1829,1460
1830,1248
1831,879
1832,687
1833,190
1834,545
1835,388
1836,30401
1837,2102
1838,1001
1839,374
1840,1036
1841,180
1842,1757
1843,542
1844,833
1845,676
1846,1837
1847,11415
1848,4932
1849,597
1850,470
1851,544
1852,218
1853,1021
1854,658
1855,1591
1856,425
1857,14138
1858,483
1859,522
1860,250
1861,887
1862,1366
1863,977
1864,113
1865,1178
1866,366
1867,374
1868,315
1869,362
1870,883
1871,1013
1872,219
1873,8760
1874,564
1875,513
1876,305
1877,790
1878,301
1879,604
1880,1111
1881,5929
1882,1232
1883,280
1884,2004
1885,529
1886,446
1887,3167
1888,100
1889,374
1890,376
1891,473
1892,345
1893,649
1894,648
1895,526
1896,421
1897,38678
1898,1296
1899,630
1900,197
1901,215
1902,436
1903,1922
1904,295
1905,458
1906,410
1907,1163
1908,394
1909,285
1910,463
1911,164
1912,5104
1913,327
1914,523
1915,671
1916,726
1917,1339
1918,1051
1919,139
1920,658
1921,795
1922,1040
1923,1109
1924,706
1925,3851
1926,17251
1927,1342
1928,463
1929,635
1930,1524
1931,350
1932,224
1933,571
1934,3087
1935,1050
1936,4232
1937,3200
1938,1206
1939,2441
1940,533
1941,230
1942,859
1943,1166
1944,1630
1945,349
1946,1186
1947,298
1948,711
1949,1265
1950,3845
1951,743
1952,663
1953,2673
1954,1399
1955,393
1956,378
1957,857
1958,683
1959,2213
1960,333
1961,1638
1962,1054
1963,2076
1964,332
1965,374
1966,1286
1967,817
1968,1525
1969,18563
1970,650
1971,298
1972,1638
1973,1249
1974,367
1975,654
1976,323
1977,292
1978,1353
1979,755
1980,1123
1981,1895
1982,870
1983,1882
1984,435
1985,189
1986,1217
1987,660
1988,906
1989,396
1990,2328
1991,186
1992,1275
1993,1575
1994,466
1995,562
1996,281
1997,1156
1998,1067
1999,1883
2000,670
2001,723
2002,880
2003,207
2004,1361
2005,581
2006,576
2007,11303
2008,610
2009,374
2010,321
2011,922
2012,1173
2013,285
2014,1095
2015,760
2016,1482
2017,476
2018,611
2019,1398
2020,148
2021,864
2022,1873
2023,1418
2024,816
2025,556
2026,999
2027,244
2028,251
2029,1227
2030,501
2031,7618
2032,381
2033,353
2034,210
2035,894
2036,1842
2037,6617
2038,797
2039,855
2040,263
2041,1521
2042,910
2043,550
2044,1099
2045,956
2046,670
2047,729
2048,389
2049,8072
2050,421
2051,267
2052,317
2053,690
2054,434
2055,132
2056,7366
2057,712
2058,16501
2059,592
2060,971
2061,1136
2062,40696
2063,319
2064,2850
2065,747
2066,3558
2067,1258
2068,13748
2069,10735
2070,366
2071,1525
2072,4443
2073,17792
2074,1450
2075,1789
2076,5175
2077,1074
2078,3985
2079,841
2080,2796
2081,853
2082,162
2083,2132
2084,1317
2085,574
2086,22608
2087,22281
2088,915
2089,1997
2090,1105
2091,36506
2092,1040
2093,677
2094,1462
2095,1097
2096,489
2097,739
2098,773
2099,1795
