,Intercept
1897,10.92
1898,10.933
1899,10.775
1900,10.677
1901,10.624
1902,10.554
1903,10.449
1904,10.433
1905,10.395
1906,10.33
1907,10.345
1908,10.321
1909,10.372
1910,10.396
1911,10.47
1912,10.514
1913,10.606
1914,10.686
1915,10.754
1916,10.717
1917,10.648
1918,10.634
1919,10.616
1920,10.66
1921,10.705
1922,10.775
1923,10.755
1924,10.727
1925,10.773
1926,10.845
1927,10.954
1928,11.063
1929,11.081
1930,11.066
1931,11.116
1932,11.142
1933,11.194
1934,11.202
1935,11.159
1936,11.16
1937,11.306
1938,11.381
1939,11.415
1940,11.487
1941,11.528
1942,11.507
1943,11.567
1944,11.623
1945,11.749
1946,11.828
1947,11.892
1948,11.954
1949,12.004
1950,12.012
1951,11.986
1952,11.941
1953,11.878
1954,11.866
1955,11.89
1956,11.915
1957,12.011
1958,12.023
1959,11.988
1960,11.915
1961,11.899
1962,11.884
1963,11.894
1964,11.921
1965,11.941
1966,11.914
1967,11.937
1968,11.903
1969,11.93
1970,11.938
1971,11.946
1972,11.795
1973,11.825
1974,11.813
1975,11.874
1976,11.882
1977,11.846
1978,11.752
1979,11.741
1980,11.746
1981,11.81
1982,11.85
1983,11.933
1984,11.953
1985,12.015
1986,12.025
1987,12.009
1988,12.009
1989,11.957
1990,11.954
1991,11.959
1992,11.986
1993,12.044
1994,12.066
1995,12.051
1996,12.026
1997,12.059
1998,12.075
1999,12.122
2000,12.165
2001,12.186
2002,12.223
2003,12.315
2004,12.352
2005,12.421
2006,12.475
2007,12.502
2008,12.594
2009,12.645
2010,12.777
2011,12.836
2012,12.907
2013,12.947
2014,12.921
2015,12.933
2016,13.093
2017,13.118
2018,13.234
2019,13.296
2020,13.329
2021,13.367
2022,13.38
2023,13.459
2024,13.474
2025,13.453
2026,13.464
2027,13.481
2028,13.541
2029,13.632
2030,13.736
2031,13.724
2032,13.781
2033,13.815
2034,13.812
2035,13.877
2036,13.943
2037,13.86
2038,13.785
2039,13.799
2040,13.749
2041,13.76
2042,13.724
2043,13.639
2044,13.619
2045,13.568
2046,13.535
2047,13.607
2048,13.597
2049,13.558
2050,13.653
2051,13.824
2052,13.894
2053,14.017
2054,14.108
2055,14.226
2056,14.308
2057,14.414
2058,14.456
2059,14.526
2060,14.777
2061,14.94
2062,15.136
2063,15.253
2064,15.261
2065,15.321
2066,15.475
2067,15.544
2068,15.576
2069,15.625
2070,15.722
2071,15.768
2072,15.869
2073,15.82
2074,15.78
2075,15.735
2076,15.731
2077,15.806
2078,15.88
2079,15.883
2080,16.006
2081,16.038
2082,16.041
2083,15.986
2084,15.989
2085,15.967
2086,16.162
2087,16.353
2088,16.507
2089,16.747
2090,16.903
2091,17.035
2092,17.154
2093,17.241
2094,17.37
2095,17.504
2096,17.658
2097,17.788
2098,17.946
2099,18.092
2100,18.129
2101,18.239
2102,18.306
2103,18.362
2104,18.512
2105,18.62
2106,18.68
2107,18.792
2108,18.855
2109,18.911
2110,18.95
2111,18.994
2112,18.944
2113,18.855
2114,18.844
2115,18.81
2116,18.737
2117,18.759
2118,18.617
2119,18.546
2120,18.488
2121,18.44
2122,18.437
2123,18.368
2124,18.313
2125,18.308
2126,18.212
2127,18.101
2128,17.962
2129,17.866
2130,17.793
2131,17.766
2132,17.736
2133,17.699
2134,17.756
2135,17.741
2136,17.687
2137,17.68
