,Intercept
2008,12.5943714017
2009,12.6448497768
2010,12.7767230026
2011,12.8359522085
2012,12.9067444458
2013,12.9471411091
2014,12.9212727039
2015,12.9333920772
2016,13.0928005134
2017,13.1181924048
2018,13.2343073554
2019,13.2956577905
2020,13.3289385185
2021,13.3673143556
2022,13.3798520889
2023,13.4586900798
2024,13.4738396262
2025,13.4528031907
2026,13.463738035
2027,13.4814207929
2028,13.5413775283
2029,13.6322389699
2030,13.7357235851
2031,13.7237100836
2032,13.7812986114
2033,13.8149315002
2034,13.8123414434
2035,13.8772387782
2036,13.9433124632
2037,13.8599030668
2038,13.7847443668
2039,13.7993984413
2040,13.748606864
2041,13.7597821465
2042,13.7237100836
2043,13.6390567937
2044,13.6186135447
2045,13.5676393802
2046,13.534608532
2047,13.6067024698
2048,13.5973510767
2049,13.5583148339
2050,13.6527026723
2051,13.8235685312
2052,13.8937277877
2053,14.0167073466
2054,14.1081126899
2055,14.2258751487
2056,14.3079095537
2057,14.4138204531
2058,14.4562232994
2059,14.5259615471
2060,14.776860832
2061,14.9403035883
2062,15.1357954791
2063,15.2526003001
2064,15.2611823012
2065,15.3213916659
2066,15.4753742121
2067,15.5441987768
2068,15.5762917713
2069,15.6250438185
2070,15.7220234986
2071,15.768274841
2072,15.8691186913
2073,15.8196051007
2074,15.7801054831
2075,15.7348028336
2076,15.7308696245
2077,15.8057690004
2078,15.8800324616
2079,15.8830102469
2080,16.0055814174
2081,16.0376246128
2082,16.0406319493
2083,15.9855869398
2084,15.9885845184
2085,15.966615322
2086,16.1623990801
2087,16.3534273626
2088,16.5074616517
2089,16.747516858
2090,16.9031500829
2091,17.0346584327
2092,17.1543193664
2093,17.2413833028
2094,17.3700941413
2095,17.5041413237
2096,17.6579745993
2097,17.7875718009
2098,17.9461391022
2099,18.0925454528
2100,18.1287667529
2101,18.2390062271
2102,18.306386719
2103,18.362535963
2104,18.5123393197
2105,18.6202556199
2106,18.6797023777
2107,18.7921175
2108,18.8544696029
2109,18.9111179417
2110,18.9501623732
2111,18.9940353323
2112,18.9442413727
2113,18.8544696029
2114,18.843866946
2115,18.809743371
2116,18.7369966533
2117,18.7592600531
2118,18.6167646493
2119,18.5459233611
2120,18.4880578126
2121,18.4395903023
2122,18.4372854975
2123,18.3682751522
2124,18.3132529014
2125,18.3075309039
2126,18.2116682264
2127,18.1004626732
2128,17.9618488459
2129,17.8655629087
2130,17.7931312857
2131,17.766461596
2132,17.7365059743
2133,17.6988559164
2134,17.7564707716
2135,17.7409406551
2136,17.6866921348
2137,17.6800608686
2138,17.6778509992
2139,17.6513541003
2140,17.7165636247
2141,17.6866921348
2142,17.6900087004
2143,17.6822710144
2144,17.5940803198
2145,17.5512469733
2146,17.539184638
2147,17.4353542806
2148,17.4244605888
2149,17.5205591508
2150,17.5567325951
2151,17.5008596048
2152,17.5808897066
2153,17.5512469733
2154,17.6469418133
2155,17.6061804089
2156,17.5633176044
2157,17.5107066076
2158,17.5655131564
2159,17.6745367128
2160,17.4418937645
2161,17.3581563056
2162,17.2521625356
2163,17.1693359646
2164,17.1789964329
2165,17.1393159019
2166,17.1168353059
2167,17.1468159932
2168,17.1972588168
2169,17.1811439416
2170,17.1671899318
2171,17.1714822658
2172,17.1489594791
2173,17.2651065108
2174,17.3473108475
2175,17.4157505362
2176,17.5282260725
2177,17.5107066076
2178,17.5545381407
2179,17.5918811972
2180,17.6094818773
2181,17.6094818773
2182,17.6557674905
2183,17.6745367128
2184,17.7143491927
2185,17.8131598223
2186,17.6745367128
2187,17.5655131564
2188,17.4375338361
2189,17.3494793969
2190,17.2791401103
2191,17.242460923
2192,17.1951092938
2193,17.1897366616
2194,17.1382447282
2195,17.0858391407
2196,16.9211192243
2197,16.8388295122
2198,16.7171894762
2199,16.600577767
2200,16.6234192614
2201,16.5674097905
2202,16.4961166721
2203,16.4128161139
2204,16.2962904148
2205,16.1967806957
2206,16.1019035835
2207,16.0195924301
2208,15.918787254
2209,15.8681269024
2210,15.859203591
2211,15.7988554889
2212,15.8532575046
2213,15.9386981798
2214,15.9516536345
2215,15.9406906416
2216,15.9257532471
2217,15.8671351755
2218,15.8720944301
2219,15.9456728858
2220,16.0155880326
